Subject ID,Group,Done?,Nickname,Calibration Arm,Calibration Hand,MappingUEQ,MappingTLX
1,Control,TRUE,Kathy,11,50,UEQS1 [SQ001-SQ008],TLX11-TLX16
1,Visual,TRUE,Kathy,11,50,UEQS2 [SQ001-SQ008],TLX21-TLX26
1,EMS,TRUE,Kathy,11,50,UEQS3 [SQ001-SQ008],TLX31-TLX36
1,EMSVisual,TRUE,Kathy,11,50,UEQS4 [SQ001-SQ008],TLX41-TLX46
2,Visual,TRUE,Julien,4,50,UEQS1 [SQ001-SQ008],TLX11-TLX16
2,EMSVisual,TRUE,Julien,4,50,UEQS2 [SQ001-SQ008],TLX21-TLX26
2,Control,TRUE,Julien,4,50,UEQS3 [SQ001-SQ008],TLX31-TLX36
2,EMS,TRUE,Julien,4,50,UEQS4 [SQ001-SQ008],TLX41-TLX46
3,EMSVisual,TRUE,Fabi,6,28,UEQS1 [SQ001-SQ008],TLX11-TLX16
3,EMS,TRUE,Fabi,6,28,UEQS2 [SQ001-SQ008],TLX21-TLX26
3,Visual,TRUE,Fabi,6,28,UEQS3 [SQ001-SQ008],TLX31-TLX36
3,Control,TRUE,Fabi,6,28,UEQS4 [SQ001-SQ008],TLX41-TLX46
4,EMS,TRUE,Lena,13,26,UEQS1 [SQ001-SQ008],TLX11-TLX16
4,Control,TRUE,Lena,13,26,UEQS2 [SQ001-SQ008],TLX21-TLX26
4,EMSVisual,TRUE,Lena,13,26,UEQS3 [SQ001-SQ008],TLX31-TLX36
4,Visual,TRUE,Lena,13,26,UEQS4 [SQ001-SQ008],TLX41-TLX46
5,Control,TRUE,Janni,15,32,UEQS1 [SQ001-SQ008],TLX11-TLX16
5,Visual,TRUE,Janni,15,32,UEQS2 [SQ001-SQ008],TLX21-TLX26
5,EMS,TRUE,Janni,15,32,UEQS3 [SQ001-SQ008],TLX31-TLX36
5,EMSVisual,TRUE,Janni,15,32,UEQS4 [SQ001-SQ008],TLX41-TLX46
6,Visual,TRUE,Tom,17,45,UEQS1 [SQ001-SQ008],TLX11-TLX16
6,EMSVisual,TRUE,Tom,17,45,UEQS2 [SQ001-SQ008],TLX21-TLX26
6,Control,TRUE,Tom,17,45,UEQS3 [SQ001-SQ008],TLX31-TLX36
6,EMS,TRUE,Tom,17,45,UEQS4 [SQ001-SQ008],TLX41-TLX46
7,EMSVisual,TRUE,Ginibee,12,5,UEQS1 [SQ001-SQ008],TLX11-TLX16
7,EMS,TRUE,Ginibee,12,5,UEQS2 [SQ001-SQ008],TLX21-TLX26
7,Visual,TRUE,Ginibee,12,5,UEQS3 [SQ001-SQ008],TLX31-TLX36
7,Control,TRUE,Ginibee,12,5,UEQS4 [SQ001-SQ008],TLX41-TLX46
8,EMS,TRUE,RobbyBubble,15,43,UEQS1 [SQ001-SQ008],TLX11-TLX16
8,Control,TRUE,RobbyBubble,15,43,UEQS2 [SQ001-SQ008],TLX21-TLX26
8,EMSVisual,TRUE,RobbyBubble,15,43,UEQS3 [SQ001-SQ008],TLX31-TLX36
8,Visual,TRUE,RobbyBubble,15,43,UEQS4 [SQ001-SQ008],TLX41-TLX46
9,Control,TRUE,Flixi,17,50,UEQS1 [SQ001-SQ008],TLX11-TLX16
9,Visual,TRUE,Flixi,17,50,UEQS2 [SQ001-SQ008],TLX21-TLX26
9,EMS,TRUE,Flixi,17,50,UEQS3 [SQ001-SQ008],TLX31-TLX36
9,EMSVisual,TRUE,Flixi,17,50,UEQS4 [SQ001-SQ008],TLX41-TLX46
10,Visual,TRUE,Fiani,10,50,UEQS1 [SQ001-SQ008],TLX11-TLX16
10,EMSVisual,TRUE,Fiani,10,50,UEQS2 [SQ001-SQ008],TLX21-TLX26
10,Control,TRUE,Fiani,10,50,UEQS3 [SQ001-SQ008],TLX31-TLX36
10,EMS,TRUE,Fiani,10,50,UEQS4 [SQ001-SQ008],TLX41-TLX46
11,EMSVisual,FALSE,,,,UEQS1 [SQ001-SQ008],TLX11-TLX16
11,EMS,FALSE,,,,UEQS2 [SQ001-SQ008],TLX21-TLX26
11,Visual,FALSE,,,,UEQS3 [SQ001-SQ008],TLX31-TLX36
11,Control,FALSE,,,,UEQS4 [SQ001-SQ008],TLX41-TLX46
12,EMS,FALSE,,,,UEQS1 [SQ001-SQ008],TLX11-TLX16
12,Control,FALSE,,,,UEQS2 [SQ001-SQ008],TLX21-TLX26
12,EMSVisual,FALSE,,,,UEQS3 [SQ001-SQ008],TLX31-TLX36
12,Visual,FALSE,,,,UEQS4 [SQ001-SQ008],TLX41-TLX46
13,Control,FALSE,,,,,
13,Visual,FALSE,,,,,
13,EMS,FALSE,,,,,
13,EMSVisual,FALSE,,,,,
14,Visual,FALSE,,,,,
14,EMSVisual,FALSE,,,,,
14,Control,FALSE,,,,,
14,EMS,FALSE,,,,,
15,EMSVisual,FALSE,,,,,
15,EMS,FALSE,,,,,
15,Visual,FALSE,,,,,
15,Control,FALSE,,,,,
16,EMS,FALSE,,,,,
16,Control,FALSE,,,,,
16,EMSVisual,FALSE,,,,,
16,Visual,FALSE,,,,,