DS01,DS02,DS03,IDRND,D02,D01,D05,D03,D04,D06,UEQS1[SQ001],UEQS1[SQ002],UEQS1[SQ003],UEQS1[SQ004],UEQS1[SQ005],UEQS1[SQ006],UEQS1[SQ007],UEQS1[SQ008],TLX11[SQ001],TLX21[SQ001],TLX31[SQ001],TLX41[SQ001],TLX51[SQ001],TLX61[SQ001],UEQS2[SQ001],UEQS2[SQ002],UEQS2[SQ003],UEQS2[SQ004],UEQS2[SQ005],UEQS2[SQ006],UEQS2[SQ007],UEQS2[SQ008],TLX12[SQ001],TLX22[SQ001],TLX32[SQ001],TLX42[SQ001],TLX52[SQ001],TLX62[SQ001],UEQS3[SQ001],UEQS3[SQ002],UEQS3[SQ003],UEQS3[SQ004],UEQS3[SQ005],UEQS3[SQ006],UEQS3[SQ007],UEQS3[SQ008],TLX13[SQ001],TLX23[SQ001],TXL33[SQ001],TXL43[SQ001],TXL53[SQ001],TXL63[SQ001],UEQS4[SQ001],UEQS4[SQ002],UEQS4[SQ003],UEQS4[SQ004],UEQS4[SQ005],UEQS4[SQ006],UEQS4[SQ007],UEQS4[SQ008],TLX14[SQ001],TLX24[SQ001],TLX34[SQ001],TLX44[SQ001],TLX54[SQ001],TLX64[SQ001],EMSEmpfindung1,EMSEmpfindung2,EMSEmpfindung3,EMSEmpfindung4
A1,A1,A2,1,A2,23,A1,A1,A1,A2,A4,A4,A3,A1,A7,A7,A6,A6,A6M,A4L,A7H,A4M,A5H,A6L,A6,A3,A6,A4,A7,A7,A7,A6,A5H,A3H,A7L,A4M,A5M,A5M,A6,A3,A6,A7,A7,A7,A7,A7,A5H,A4L,A7M,A4M,A6L,A6L,A7,A5,A7,A5,A7,A7,A7,A7,A5H,A4M,A7L,A3H,A5H,A5H,kribbeln und zucken,"EMS Feedback ist direkter, da das Feedback direkt auf der Haut spürbar ist, überträgt aber dafür auch weniger deutliche Anweisungen (im Vergleich zu Audio oder visuellem Feedback)","Ist anfangs ungewohnt, vor allem bei Force Feedback, da sich die angesprochenen Muskelgruppen dabei ohne eigenes Zutun bewegen; bei schwachem EMS Feedback vergleichbar mit anderem taktilen Feedback","Es hat zur Verbesserung der Fehlervermeidung geholfen, indem bei ""falschen"" Reaktionen EMS Signale dazugegeben wurden, um mich von der ""falschen"" Entscheidung abzuhalten; ich glaube aber nicht, dass meine Reaktionszeit selbst dadurch verbessert wurde"
A1,A1,A2,2,A1,22,A1,A1,A1,A2,A5,A6,A6,A2,A6,A6,A5,A5,A6L,A1H,A1H,A1M,A6L,A4M,A4,A7,A7,A3,A7,A7,A7,A7,A6L,A5M,A3L,A1M,A6L,A5L,A4,A7,A4,A6,A5,A5,A3,A4,A6M,A1H,A1H,A1L,A6H,A1H,A4,A7,A7,A3,A7,A6,A7,A7,A6L,A3L,A1H,A1H,A5M,A5M,"Da ich mich eher auf das visuelle konzentriere, ist es etwas irritierend, aber dafür sehr intuitiv(effizient), dass die Hand automatisch weggezogen wird, wenn man über einem falschen Knopf die Hand bewegt. Ich habe daraufhin aber eher meine Hand nicht über die Knöpfe gehalten. Durch das EMS wird man daran gehindert, auf das falsche zu tippen (am Arm).","Es gibt eine direkte körperliche Reaktion wieder, diese Reaktion ist aber ungewohnt und eher irritierend, wenn man wenig bis keine Erfahrung damit hat.","Es fühlt sich an wie ein kribbeln, je nach Stärke ist es auch ein stärkeres Gefühl bis hin zu Schmerz. Man benutzt es aber eher im geringeren Rahmen, sodass es nicht zu Schmerz führt. Man kann sagen, es fühlt sich an ob Strom durch einen fließt. (kribbeln bis hin zur körperlichen Reaktion durch Muskelstimulation)","Für mich hat es beim ersten Verwenden eher zu einer schlechteren Zeit geführt, weil ich durch den EMS ""Schock"" aus meinem Fokus/Flow gerissen wurde. Aber bei der Fehlervermeidung ist es sehr effektiv, da die Hand direkt weggezogen wird, obwohl man drücken wollte. Vielleicht eine kleinere Stufe hätte mich weniger irritiert und zur gleichen Fehlervermeidung geführt."
A1,A1,A2,3,A1,25,A1,A2,A2,A2,A2,A4,A6,A3,A7,A7,A4,A7,A6H,A4M,A5H,A2H,A2H,A6H,A3,A6,A3,A6,A7,A7,A4,A6,A4M,A5H,A4M,A3L,A5H,A4M,A4,A7,A4,A4,A2,A5,A4,A2,A3M,A5H,A4M,A1H,A3M,A2H,A4,A7,A3,A7,A4,A4,A3,A2,A1H,A3L,A1H,A1H,A2H,A1H,Anstregend,,"neu, gestresster","deutlich, schneller"
A1,A1,A2,4,A2,26,A1,A2,A2,A2,A4,A4,A4,A3,A6,A6,A4,A6,A5L,A2L,A2L,A1H,A4M,A1M,A2,A3,A4,A3,A5,A5,A4,A6,A5L,A4H,A4M,A2H,A4M,A3H,A5,A5,A5,A4,A6,A6,A6,A6,A5L,A4H,A3M,A2L,A2M,A1H,A5,A5,A5,A5,A6,A6,A6,A6,A4L,A4L,A2H,A1M,A1H,A1M,"angenehm, unterstützend, leistungsfördern (besseres Gefühl die Aufgabe abgeschlossen zu haben) ",kenne leider keinen Vergleich,"es ist ein angenehmes kribbeln, wodurch die Muskeln stimuliert werden ","mit der EMS Unterstützung hatte ich das Gefühl, konzentrierter zu sein und schneller reagieren zu hören "
A1,A1,A2,5,A1,28,A1,A2,A1,A2,A4,A6,A5,A6,A2,A2,A2,A3,A2L,A2L,A3M,A2L,A3L,A3L,A5,A5,A6,A5,A6,A4,A3,A3,A3M,A2M,A3M,A2L,A3L,A2M,A2,A5,A6,A2,A6,A6,A6,A7,A1M,A4H,A2H,A1M,A2L,A1M,A7,A6,A6,A3,A6,A7,A6,A7,A1M,A1H,A2H,A1L,A1M,A2M,"Das EMS-Feedback fühlt sich an wie sanfte, rhythmische Impulse, die die Haut leicht zucken lassen. Es ist ein überraschendes, aber nicht unbedingt unangenehmes Gefühl.",EMS-Feedback ist subtiler und persönlicher als Audio-Feedback und nicht durch Geräusche in der Umgebung gestört. Präzise Informationen sind durch EMS allein wahrscheinlich schwierig.,Wie ein sanftes Flattern oder Zucken unter der Haut.,"Ich hatte das Gefühl, ich baue viel schneller eine Art Musclememory auf."
A1,A1,A2,6,A1,23,A1,A2,A1,A2,A6,A6,A7,A4,A6,A6,A7,A7,A3H,A1H,A4M,A2M,A2H,A6L,A7,A7,A7,A2,A6,A7,A7,A7,A1M,A3L,A4M,A1L,A1H,A6L,A5,A7,A4,A6,A2,A2,A2,A3,A5L,A1M,A4M,A3L,A3M,A2H,A6,A5,A6,A3,A6,A6,A7,A7,A2H,A3M,A4M,A1M,A2H,A6M,"Befremdlich, interessant, gewöhnungsbedürftig","Näher und subtiler als Audio, präziser als Vibration","Kontrollierter elektrischer Impuls, ungewöhnlich aber nicht schmerzhaft.",Schnell verabeitetes Signal. Nah am Körper.
A1,A1,A2,7,A2,27,A1,A2,A1,A2,A2,A3,A2,A3,A4,A4,A5,A5,A5M,A2H,A6L,A3M,A6L,A6L,A3,A3,A3,A4,A4,A4,A4,A5,A5H,A2M,A6M,A2H,A6L,A5H,A4,A5,A5,A3,A5,A5,A5,A6,A5H,A2L,A6H,A2M,A6M,A5L,A5,A5,A6,A6,A6,A6,A5,A5,A5H,A1H,A5H,A1H,A6L,A2M,"störend, verunsichernd, lästig, aus der Konzentration reißend",es ist nicht bewusst kontrollierbar,"fremdbestimmt, unmittelbar, direkt, tut aber nicht weh, kann es nicht beeinflussen weshalb es möglicherweise unverfälschtere Ergebnisse liefert","schwer zu sagen, konnte keinen Zusammenhang darin erkennen, was das Feedback auslöst und worauf es sich bezieht"
A1,A1,A2,8,A1,29,A1,A1,A1,A2,A2,A5,A3,A3,A5,A5,A5,A6,A6M,A2M,A5M,A4M,A3M,A5M,A6,A6,A5,A3,A6,A5,A4,A6,A5M,A2L,A5M,A2L,A3M,A5M,A2,A3,A3,A3,A6,A5,A5,A6,A6L,A2H,A5M,A4M,A5L,A5M,A2,A3,A3,A2,A5,A6,A5,A6,A3M,A3H,A5H,A2H,A5M,A5M,"Elektrisierend, Kribbelig","Neuartig, noch direkter am Körper","Impulse auf der Haut (ähnlich ""leichter Stromschlag"")","Durch direkte und spürbare Impulse auf der Haut, vermute ich das es schneller funktioniert zu lernen und sich zu verbessern."
A1,A1,A2,9,A1,27,A2,A1,A1,A2,A5,A6,A2,A5,A4,A4,A4,A4,A3H,A1L,A4M,A3L,A4M,A5L,A4,A7,A3,A4,A4,A4,A4,A4,A2L,A1M,A1M,A3H,A1L,A5L,A2,A4,A4,A4,A5,A5,A5,A4,A1M,A2L,A1H,A1H,A1H,A4H,A3,A5,A4,A4,A4,A4,A4,A4,A1H,A1H,A1M,A1H,A1M,A6L,Lustig kribbelnd,zeitlich versetzt,An einen elektrische Zaun an einer Kuhweide fassen,"Ich konnte keine Verbesserungen erkennen, eher teilweise durch die Muskelzuckung den Knopf nicht getroffen"
A1,A1,A2,10,A2,27,A1,A2,A1,A2,A1,A1,A2,A1,A5,A5,A4,A4,A6M,A2M,A7L,A5L,A6H,A7L,A1,A2,A2,A1,A7,A7,A7,A7,A4H,A6M,A7H,A6H,A6L,A5L,A7,A6,A6,A6,A5,A4,A1,A1,A5M,A3M,A3H,A6H,A3M,A1H,A1,A3,A1,A2,A7,A7,A7,A7,A6L,A7M,A7M,A6H,A7M,A4H,aufregend aber auch sehr irritierend und mit der Zeit sicherlich unangenehm,"in diesem Fall fühlt sich EMS vergleichsweise gröber, weniger genau an, man erkennt nicht genau für was genau man feedback erhält außer eventuell zu langsam zu sein",,"es beschleunigt meine Reaktionszeit, in diesem Falle hat es eventuell aber nicht wirklich dazu beigetragen, dass ich weniger Fehler gemacht habe, auch wenn ich diese gerne vermieden hätte, sondern eher dazu geführt das ich mich teilweise nur auf den EMS Impuls konzentriert habe und von der eigentlichen Aufgabe abgelenkt wurde"
A1,A1,A2,11,A1,27,A1,A1,A1,A2,A4,A6,A5,A3,A6,A7,A7,A7,A6L,A1L,A7L,A4L,A5H,A5H,A6,A6,A5,A6,A6,A7,A7,A7,A6H,A1L,A6H,A5M,A3M,A5L,A7,A6,A6,A6,A7,A7,A7,A7,A4H,A1L,A6L,A5H,A5M,A3M,A6,A6,A7,A6,A7,A7,A7,A7,A4H,A1L,A6H,A3H,A5L,A2H,"Gut, spannend, neuartig, innovativ, kreativ","Es tritt ""in den Hintergrund"", wird nicht bewusst wahrgenommen. Hilft unbewusst.","Kribbeln, eher passiv.",Es setzt Bewegungs- und Reaktionsimpulse. Verringert Fehlerquote.
A1,A1,A2,12,A2,28,A1,A1,A1,A2,A6,A6,A7,A6,A6,A7,A5,A4,A6M,A2M,A6L,A6M,A3L,A2H,A3,A5,A3,A6,A6,A6,A6,A7,A7M,A2M,A6M,A5H,A7L,A5M,A2,A4,A3,A2,A6,A6,A6,A7,A6H,A2L,A6H,A6L,A6H,A7M,A5,A6,A6,A6,A6,A6,A6,A7,A7L,A2M,A7L,A7M,A7L,A1M,"Angenehm, aber mit einem negativen Gefühl verbunden, da es auf einen Fast-Fehler hinweist - verknüpft mit Gefühl des Versagens","Besser als ein Audio Signal, zumindest wenn das Audio Signal nur einmal auftritt. EMS ist für mich ähnlich wie ein Vibrationssignal. ",Kribbeln unter der Haut - wie kleine Stromstöße,"Bei der Reaktionszeit nicht unbedingt verkürzend, aber im Hinblick auf Fehlervermeidung positiv. Das Signal erfolgte in meinem Fall früh genug, so dass es mich davon abgehalten hat, den falschen Knopf zu drücken."
A1,A1,A2,13,A2,29,A1,A1,A2,A2,A7,A7,A7,A7,A4,A4,A1,A1,A4M,A2L,A5H,A5H,A4M,A5L,A7,A6,A7,A6,A6,A6,A6,A6,A3M,A2L,A2L,A3H,A3H,A3M,A7,A7,A7,A7,A7,A7,A7,A7,A2M,A2M,A2L,A2L,A2L,A2L,A5,A5,A5,A5,A6,A7,A6,A7,A2H,A2L,A2H,A2M,A2M,A2M,Angenehmes Kribbeln ,"Sehr ähnlich zu herkömmlicher Vibration, nur intrinsischer.","Es fühlt sich an, als wäre der betroffene Muskel ""eingeschlafen"" und würde kribbelnd wieder ""wach werden"".","Die Wahrnehmung verlief sehr viel unterbewusster und schneller, da ich das Signal weniger bewusst verarbeiten musste als das Verstehen und Verarbeiten eines Audiosignals."
A1,A1,A2,14,A2,28,A1,A2,A2,A2,A4,A5,A5,A5,A6,A6,A5,A6,A7L,A2M,A6H,A3L,A6L,A4H,A5,A6,A6,A6,A6,A6,A5,A5,A5H,A3L,A6L,A4H,A4H,A3M,A5,A6,A6,A6,A6,A6,A5,A5,A4M,A2H,A5L,A4M,A4M,A3L,A6,A6,A6,A6,A6,A6,A5,A5,A5L,A3L,A5M,A4M,A4H,A2L,"Kribbelig, fühlt sich an, als würde man Feedback bekommen, fühlt sich gut an","ähnlich, aber intensiver in der Muskeln. ","Kribbelig, aktivierend, angenehm.",Feedback zu richtigen/falschen Movements.
A1,A1,A2,15,A1,27,A1,A2,A2,A2,A2,A6,A4,A5,A6,A6,A6,A7,A5M,A1L,A1H,A5H,A2L,A4M,A4,A5,A4,A5,A5,A6,A6,A4,A6L,A1M,A3L,A5M,A2L,A2L,A6,A6,A6,A6,A6,A7,A4,A5,A2L,A1M,A2L,A5M,A2L,A2M,A5,A6,A4,A6,A4,A5,A5,A4,A2L,A1M,A2L,A4M,A2L,A4H,"Unangenehm, störend in der Entscheidungsfindung",Stärkeres Feedback,"Es vibriert, je falscher man wird",Mir nicht
